36,75,50
81,89,32
29,83,33
20,96,63
82,2,63
95,36,82
22,22,12
74,26,62
52,98,42
32,4,34
92,18,87
82,73,98
97,2,80
62,54,41
9,68,48
81,4,50
13,11,79
99,36,73
100,17,26
80,89,73
26,21,98
20,94,48
89,23,75
85,76,45
80,96,57
1,35,1
8,56,10
73,78,88
42,62,89
31,93,98
10,21,86
54,93,13
53,30,23
34,70,63
1,71,32
49,55,100
63,50,22
30,60,81
99,67,47
64,51,87
14,95,59
99,49,57
53,43,78
49,21,86
62,87,38
57,51,17
48,8,52
4,22,35
20,74,74
77,26,60
37,51,70
55,33,75
99,52,11
45,49,55
77,86,61
66,20,39
60,61,12
75,30,19
12,63,6
90,71,9
30,100,82
8,100,86
56,44,55
52,62,96
43,8,66
100,98,23
60,74,16
81,89,38
66,35,3
63,80,100
38,45,40
39,64,20
97,10,18
62,94,57
19,38,15
7,33,36
60,1,98
4,21,83
53,64,49
29,50,66
13,79,59
84,22,79
68,37,51
10,95,91
77,87,46
95,21,25
82,65,66
18,31,18
28,53,23
11,21,30
58,13,89
72,63,58
83,16,8
36,84,22
23,21,20
65,42,39
53,52,5
40,78,12
76,6,12
71,80,49
7,87,62
